name,size,dims,nn_len,opt_len,s,bad_pair_count,repair_len,total_pairs
Tnm100,100,2,1574837.0,1398070.0,0.25,1,1521412.0,230
Tnm100,100,2,1574837.0,1398070.0,0.5,0,1574837.0,315
Tnm100,100,2,1574837.0,1398070.0,0.75,0,1574837.0,373
Tnm100,100,2,1574837.0,1398070.0,1.0,0,1574837.0,490
Tnm100,100,2,1574837.0,1398070.0,1.25,0,1574837.0,585
Tnm100,100,2,1574837.0,1398070.0,1.5,0,1574837.0,657
Tnm103,103,2,1568468.0,1412229.0,0.25,0,1568468.0,227
Tnm103,103,2,1568468.0,1412229.0,0.5,0,1568468.0,318
Tnm103,103,2,1568468.0,1412229.0,0.75,0,1568468.0,373
Tnm103,103,2,1568468.0,1412229.0,1.0,0,1568468.0,507
Tnm103,103,2,1568468.0,1412229.0,1.25,0,1568468.0,591
Tnm103,103,2,1568468.0,1412229.0,1.5,0,1568468.0,683
Tnm106,106,2,1632923.0,1469617.0,0.25,0,1632923.0,228
Tnm106,106,2,1632923.0,1469617.0,0.5,0,1632923.0,330
Tnm106,106,2,1632923.0,1469617.0,0.75,0,1632923.0,383
Tnm106,106,2,1632923.0,1469617.0,1.0,0,1632923.0,501
Tnm106,106,2,1632923.0,1469617.0,1.25,0,1632923.0,598
Tnm106,106,2,1632923.0,1469617.0,1.5,0,1632923.0,685
Tnm109,109,2,1692676.0,1527709.0,0.25,1,1646897.0,235
Tnm109,109,2,1692676.0,1527709.0,0.5,0,1692676.0,334
Tnm109,109,2,1692676.0,1527709.0,0.75,0,1692676.0,398
Tnm109,109,2,1692676.0,1527709.0,1.0,0,1692676.0,528
Tnm109,109,2,1692676.0,1527709.0,1.25,0,1692676.0,620
Tnm109,109,2,1692676.0,1527709.0,1.5,0,1692676.0,707
Tnm112,112,2,1764310.0,1585157.0,0.25,1,1711301.0,236
Tnm112,112,2,1764310.0,1585157.0,0.5,0,1764310.0,332
Tnm112,112,2,1764310.0,1585157.0,0.75,0,1764310.0,384
Tnm112,112,2,1764310.0,1585157.0,1.0,0,1764310.0,522
Tnm112,112,2,1764310.0,1585157.0,1.25,0,1764310.0,620
Tnm112,112,2,1764310.0,1585157.0,1.5,0,1764310.0,697
Tnm115,115,2,1803210.0,1641752.0,0.25,1,1748322.0,242
Tnm115,115,2,1803210.0,1641752.0,0.5,0,1803210.0,345
Tnm115,115,2,1803210.0,1641752.0,0.75,0,1803210.0,404
Tnm115,115,2,1803210.0,1641752.0,1.0,0,1803210.0,551
Tnm115,115,2,1803210.0,1641752.0,1.25,0,1803210.0,647
Tnm115,115,2,1803210.0,1641752.0,1.5,0,1803210.0,727
Tnm118,118,2,1834585.0,1698486.0,0.25,0,1834585.0,263
Tnm118,118,2,1834585.0,1698486.0,0.5,0,1834585.0,358
Tnm118,118,2,1834585.0,1698486.0,0.75,0,1834585.0,427
Tnm118,118,2,1834585.0,1698486.0,1.0,0,1834585.0,577
Tnm118,118,2,1834585.0,1698486.0,1.25,0,1834585.0,674
Tnm118,118,2,1834585.0,1698486.0,1.5,0,1834585.0,746
Tnm121,121,2,1969631.0,1755689.0,0.25,1,1917166.0,251
Tnm121,121,2,1969631.0,1755689.0,0.5,0,1969631.0,355
Tnm121,121,2,1969631.0,1755689.0,0.75,0,1969631.0,429
Tnm121,121,2,1969631.0,1755689.0,1.0,0,1969631.0,593
Tnm121,121,2,1969631.0,1755689.0,1.25,0,1969631.0,679
Tnm121,121,2,1969631.0,1755689.0,1.5,0,1969631.0,751
Tnm124,124,2,2032006.0,1813276.0,0.25,1,1977976.0,259
Tnm124,124,2,2032006.0,1813276.0,0.5,0,2032006.0,365
Tnm124,124,2,2032006.0,1813276.0,0.75,0,2032006.0,431
Tnm124,124,2,2032006.0,1813276.0,1.0,0,2032006.0,604
Tnm124,124,2,2032006.0,1813276.0,1.25,0,2032006.0,699
Tnm124,124,2,2032006.0,1813276.0,1.5,0,2032006.0,771
Tnm127,127,2,2094414.0,1871162.0,0.25,1,2038859.0,265
Tnm127,127,2,2094414.0,1871162.0,0.5,0,2094414.0,369
Tnm127,127,2,2094414.0,1871162.0,0.75,0,2094414.0,450
Tnm127,127,2,2094414.0,1871162.0,1.0,0,2094414.0,604
Tnm127,127,2,2094414.0,1871162.0,1.25,0,2094414.0,699
Tnm127,127,2,2094414.0,1871162.0,1.5,0,2094414.0,793
Tnm130,130,2,2135153.0,1928734.0,0.25,1,2125154.0,288
Tnm130,130,2,2135153.0,1928734.0,0.5,0,2135153.0,392
Tnm130,130,2,2135153.0,1928734.0,0.75,0,2135153.0,472
Tnm130,130,2,2135153.0,1928734.0,1.0,0,2135153.0,634
Tnm130,130,2,2135153.0,1928734.0,1.25,0,2135153.0,723
Tnm130,130,2,2135153.0,1928734.0,1.5,0,2135153.0,819
Tnm133,133,2,2141645.0,1944317.0,0.25,2,2093411.0,299
Tnm133,133,2,2141645.0,1944317.0,0.5,0,2141645.0,404
Tnm133,133,2,2141645.0,1944317.0,0.75,0,2141645.0,488
Tnm133,133,2,2141645.0,1944317.0,1.0,0,2141645.0,661
Tnm133,133,2,2141645.0,1944317.0,1.25,0,2141645.0,747
Tnm133,133,2,2141645.0,1944317.0,1.5,0,2141645.0,851
Tnm136,136,2,2221620.0,2002445.0,0.25,1,2168436.0,306
Tnm136,136,2,2221620.0,2002445.0,0.5,0,2221620.0,406
Tnm136,136,2,2221620.0,2002445.0,0.75,0,2221620.0,501
Tnm136,136,2,2221620.0,2002445.0,1.0,0,2221620.0,664
Tnm136,136,2,2221620.0,2002445.0,1.25,0,2221620.0,759
Tnm136,136,2,2221620.0,2002445.0,1.5,0,2221620.0,872
Tnm139,139,2,2284079.0,2060637.0,0.25,1,2229497.0,300
Tnm139,139,2,2284079.0,2060637.0,0.5,0,2284079.0,409
Tnm139,139,2,2284079.0,2060637.0,0.75,0,2284079.0,491
Tnm139,139,2,2284079.0,2060637.0,1.0,0,2284079.0,665
Tnm139,139,2,2284079.0,2060637.0,1.25,0,2284079.0,753
Tnm139,139,2,2284079.0,2060637.0,1.5,0,2284079.0,864
Tnm142,142,2,2346554.0,2118758.0,0.25,2,2249922.0,326
Tnm142,142,2,2346554.0,2118758.0,0.5,0,2346554.0,425
Tnm142,142,2,2346554.0,2118758.0,0.75,0,2346554.0,532
Tnm142,142,2,2346554.0,2118758.0,1.0,0,2346554.0,703
Tnm142,142,2,2346554.0,2118758.0,1.25,0,2346554.0,804
Tnm142,142,2,2346554.0,2118758.0,1.5,0,2346554.0,914
Tnm145,145,2,2387217.0,2177169.0,0.25,1,2377218.0,337
Tnm145,145,2,2387217.0,2177169.0,0.5,0,2387217.0,442
Tnm145,145,2,2387217.0,2177169.0,0.75,0,2387217.0,535
Tnm145,145,2,2387217.0,2177169.0,1.0,0,2387217.0,710
Tnm145,145,2,2387217.0,2177169.0,1.25,0,2387217.0,811
Tnm145,145,2,2387217.0,2177169.0,1.5,0,2387217.0,922
Tnm148,148,2,2471594.0,2235669.0,0.25,0,2471594.0,336
Tnm148,148,2,2471594.0,2235669.0,0.5,0,2471594.0,443
Tnm148,148,2,2471594.0,2235669.0,0.75,0,2471594.0,544
Tnm148,148,2,2471594.0,2235669.0,1.0,0,2471594.0,728
Tnm148,148,2,2471594.0,2235669.0,1.25,0,2471594.0,833
Tnm148,148,2,2471594.0,2235669.0,1.5,0,2471594.0,940
Tnm151,151,2,2510068.0,2293265.0,0.25,0,2510068.0,351
Tnm151,151,2,2510068.0,2293265.0,0.5,0,2510068.0,459
Tnm151,151,2,2510068.0,2293265.0,0.75,0,2510068.0,546
Tnm151,151,2,2510068.0,2293265.0,1.0,0,2510068.0,739
Tnm151,151,2,2510068.0,2293265.0,1.25,0,2510068.0,842
Tnm151,151,2,2510068.0,2293265.0,1.5,0,2510068.0,953
Tnm154,154,2,2604894.0,2350345.0,0.25,0,2604894.0,351
Tnm154,154,2,2604894.0,2350345.0,0.5,0,2604894.0,462
Tnm154,154,2,2604894.0,2350345.0,0.75,0,2604894.0,565
Tnm154,154,2,2604894.0,2350345.0,1.0,0,2604894.0,742
Tnm154,154,2,2604894.0,2350345.0,1.25,0,2604894.0,873
Tnm154,154,2,2604894.0,2350345.0,1.5,0,2604894.0,975
Tnm157,157,2,2633171.0,2407153.0,0.25,1,2623172.0,355
Tnm157,157,2,2633171.0,2407153.0,0.5,0,2633171.0,474
Tnm157,157,2,2633171.0,2407153.0,0.75,0,2633171.0,566
Tnm157,157,2,2633171.0,2407153.0,1.0,0,2633171.0,751
Tnm157,157,2,2633171.0,2407153.0,1.25,0,2633171.0,874
Tnm157,157,2,2633171.0,2407153.0,1.5,0,2633171.0,993
Tnm160,160,2,2694609.0,2463857.0,0.25,0,2694609.0,351
