name,num_points,opt_len,nn_len,untouched_len
berlin52,52,7498.268179617622,8980.918279329191,20985.156714227644
bier127,127,,135751.77804825202,387386.27588724653
brd14051,14051,,577037.162832392,23581476.34480897
ch130,130,6045.299870915394,7575.286291798959,47719.135731982664
ch150,150,6511.241138358433,8194.614331512179,52433.39612231375
d1291,1291,,59941.23797294148,147308.69198760335
d15112,15112,,1948433.3340012422,112300011.44806911
d1655,1655,,74893.3523831955,202204.5993031194
d18512,18512,,797562.3212599959,29454291.77224836
d198,198,,18620.073812019415,18434.929685296094
d2103,2103,,87468.56910165025,136048.9197454296
d493,493,,43646.37613392927,109669.96695499639
d657,657,,62176.401032322225,227702.5839930308
eil101,101,635.9849804702654,825.2423227277445,2049.2554753473582
eil51,51,423.90054945308583,513.610006884723,1299.575900454896
eil76,76,540.00238766161,711.993292632752,1949.2580461312984
fl1400,1400,,26971.884957296104,169700.65959932128
fl1577,1577,,27940.913818580637,49186.59526817842
fl3795,3795,,34225.56008839874,165958.89531734385
fl417,417,,15114.118639134178,53550.75936027079
fnl4461,4461,,227156.6074673403,5868777.618008543
gil262,262,,3241.4668367219524,26209.32169346407
kroA100,100,20997.356389093537,26856.388591241608,188750.24402172762
kroA150,150,,33609.86697089157,286468.1768452356
kroA200,200,,35798.40897428191,371327.26212676713
kroB100,100,,29155.04370371318,155936.11764224694
kroB150,150,,32825.749887629725,271139.6343294805
kroB200,200,,36981.59014085329,324334.8761067282
kroC100,100,20718.45151484474,26327.36210986594,181814.85276864577
kroD100,100,20929.027902485428,26950.46122270427,168271.84904796685
kroE100,100,,27587.187458190685,184853.61774621028
lin105,105,14073.73552538057,20362.75741726528,34735.33104576118
lin318,318,,54033.576773283414,115562.34181089379
lin318,318,,54033.576773283414,115562.34181089379
nrw1379,1379,,70015.4571221561,709837.9289811518
p654,654,,43411.559314767685,101906.97661234635
pcb1173,1173,,70277.94149543133,120609.7437929112
pcb3038,3038,,175572.7517790299,291090.8434451214
pcb442,442,50336.33391823537,61984.04725691383,220988.34187199757
pr1002,1002,256647.98572818722,315596.5873942432,334008.31459490495
pr107,107,,46678.15415698672,52371.26982185818
pr124,124,,69299.42521616325,89532.26299387669
pr136,136,,120777.85961075767,277956.23168098077
pr144,144,,61650.71979547381,82574.05584676027
pr152,152,,85702.9536568167,147260.69498859704
pr226,226,,94685.4541969057,99581.90109995606
pr2392,2392,377962.8211915631,461207.48979962006,377962.8211915631
pr264,264,,58022.856841092,70368.0984191436
pr299,299,,59899.00967534026,80446.00353218651
pr439,439,,131282.09211543194,263667.113087918
pr76,76,106228.11748255491,153461.92250215414,147063.68228740734
rat195,195,,2761.9573600471717,3733.127873441707
rat575,575,,8449.318332290888,12438.732116419713
rat783,783,,11255.070244962235,71527.1014761465
rat99,99,,1564.724855363279,1915.0216340348027
rd400,400,,19168.051518770302,215089.69207064464
rl11849,11849,,1139495.9140828988,86615999.99010275
rl1304,1304,,339797.4719735448,3225686.1162810037
rl1323,1323,,332094.9696636046,3082926.7330118604
rl1889,1889,,400684.63843581546,6583569.70232465
rl5915,5915,,707498.6307517061,10135163.590973645
rl5934,5934,,683805.9981669766,9842350.71023866
st70,70,670.0534483513069,805.5312008437772,3390.4564639818873
ts225,225,,152493.55078894642,259911.6417898071
tsp225,225,3830.5,4828.9966828442675,10086.896030584343
u1060,1060,,281635.6790392295,259956.2878732171
u1432,1432,,188815.01032068222,183141.16952931407
u159,159,,54669.02641496337,43092.86417942793
u1817,1817,,71103.04371104813,71874.41410420515
u2152,2152,,80179.88913959579,82167.88966378898
u2319,2319,,278783.30735124706,281806.4083668387
u574,574,,46881.86653725991,40215.237807685146
u724,724,,55223.203988251866,157309.5966276274
usa13509,13509,,25047673.20526702,1590360148.8547258
vm1084,1084,,301469.2275916338,5338569.767839422
vm1748,1748,,408089.19418334065,9997030.789270865
